UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,8,2021,51,4315272,2159138,2156134,1691446,1642411,268199,296412,26323,25140,134231,150257,5213,5073,33726,36841,1719952,1673229,278868,309172,40845,40994,147100,164339,9223,9261,1777920,1791993,1349535,1317733,253101,279742,14466,15000,130698,146643,3914,3866,26206,29009,1371420,1341758,260667,289111,25132,26933,141797,158739,7225,7328,381218,364141,341911,324678,15098,16670,11857,10140,3533,3614,1299,1207,7520,7832,348532,331471,18201,20061,15713,14061,5303,5600,1998,1933
R,8,2021,52,4145080,2070227,2074853,1630016,1589872,251191,279114,25124,24029,127602,143063,4878,4839,31416,33936,1656673,1618331,260704,290460,39088,39161,139552,155803,8502,8632,1710142,1729366,1306613,1281566,237062,263356,14149,14385,124342,139676,3692,3680,24284,26703,1327007,1303749,243606,271527,24428,25857,134681,150699,6665,6808,360085,345487,323403,308306,14129,15758,10975,9644,3260,3387,1186,1159,7132,7233,329666,314582,17098,18933,14660,13304,4871,5104,1837,1824
R,8,2021,53,4049684,2019575,2030109,1588938,1553241,250136,278684,24465,23427,122016,137905,4634,4663,29386,32189,1613655,1579996,258952,289393,37821,37988,133149,149875,8060,8501,1670316,1694706,1275311,1253488,236129,263292,13701,14297,118955,134771,3469,3541,22751,25317,1294190,1274268,242193,270990,23649,25420,128581,145128,6317,6742,349259,335403,313627,299753,14007,15392,10764,9130,3061,3134,1165,1122,6635,6872,319465,305728,16759,18403,14172,12568,4568,4747,1743,1759
R,8,2021,54,4055309,2014798,2040511,1596875,1574514,248166,279191,23769,23438,112973,127517,4685,4605,28330,31246,1620715,1600506,256535,289795,36997,37924,123444,138630,8051,8257,1679728,1715384,1295475,1283938,234904,264186,13741,14634,109986,124540,3549,3516,22073,24570,1313816,1304124,240664,271814,23678,25729,119056,134119,6393,6583,335070,325127,301400,290576,13262,15005,10028,8804,2987,2977,1136,1089,6257,6676,306899,296382,15871,17981,13319,12195,4388,4511,1658,1674
R,8,2021,55,4104350,2035681,2068669,1610770,1595468,255171,286811,23989,23639,113241,127333,4579,4580,27931,30838,1633981,1621052,263487,296981,37344,38344,123353,138279,7998,8227,1706072,1748972,1314590,1309792,241741,272116,14031,14946,110384,124301,3510,3568,21816,24249,1332452,1329673,247437,279390,24259,26305,119094,133689,6385,6600,329609,319697,296180,285676,13430,14695,9958,8693,2857,3032,1069,1012,6115,6589,301529,291379,16050,17591,13085,12039,4259,4590,1613,1627
R,8,2021,56,4264306,2105448,2158858,1673412,1674465,261519,295842,24517,24521,112952,127694,4721,4711,28327,31625,1697078,1700620,269692,306163,38302,39875,123151,138685,8182,8477,1780469,1840951,1381346,1390353,248402,281158,14763,15932,110085,124712,3677,3701,22196,25095,1399636,1410848,254050,288622,25264,27985,118946,134182,6573,6860,324979,317907,292066,284112,13117,14684,9754,8589,2867,2982,1044,1010,6131,6530,297442,289772,15642,17541,13038,11890,4205,4503,1609,1617
R,8,2021,57,4376183,2156564,2219619,1725061,1732890,260858,296019,24445,24709,113375,129833,4471,4613,28354,31555,1748664,1758962,268833,305818,38675,40555,123441,140797,7962,8368,1845480,1910097,1445629,1456293,248099,281653,15076,16177,110679,127055,3493,3631,22504,25288,1464137,1476901,253677,288750,26186,28853,119427,136564,6423,6807,311084,309522,279432,276597,12759,14366,9369,8532,2696,2778,978,982,5850,6267,284527,282061,15156,17068,12489,11702,4014,4233,1539,1561
R,8,2021,58,4383144,2154593,2228551,1727836,1746608,256224,291801,24062,24257,114244,130053,4273,4503,27954,31329,1751158,1772394,263864,301600,38177,40140,124178,140695,7618,8215,1858188,1930756,1461420,1480557,244175,278237,15141,16040,111605,127246,3358,3574,22489,25102,1479995,1500955,249554,285339,26339,28753,120321,136441,6221,6699,296405,297795,266416,266051,12049,13564,8921,8217,2639,2807,915,929,5465,6227,271163,271439,14310,16261,11838,11387,3857,4254,1397,1516
R,8,2021,59,4394022,2155966,2238056,1741785,1767839,252644,289943,23504,24185,106047,120760,4395,4484,27591,30845,1764905,1793158,259964,299573,37509,40150,115854,131139,7792,8151,1870147,1950851,1484594,1510926,241142,277215,14982,16162,103585,118089,3526,3575,22318,24884,1503118,1531127,246303,284208,26208,29077,112180,127090,6420,6648,285819,287205,257191,256913,11502,12728,8522,8023,2462,2671,869,909,5273,5961,261787,262031,13661,15365,11301,11073,3674,4049,1372,1503
R,8,2021,60,4386562,2147315,2239247,1745106,1777478,247822,286627,22766,23903,100306,117007,4154,4210,27161,30022,1767776,1802109,254968,295749,36851,39800,109898,127008,7422,7785,1878279,1965935,1503239,1532952,237013,274313,14719,16471,97917,114441,3337,3393,22054,24365,1521433,1552709,242102,281023,26060,29424,106332,123109,6111,6395,269036,273312,241867,244526,10809,12314,8047,7432,2389,2566,817,817,5107,5657,246343,249400,12866,14726,10791,10376,3566,3899,1311,1390
R,8,2021,61,4324295,2113362,2210933,1709722,1747413,247356,285585,22540,23585,102888,120681,4165,4166,26691,29503,1732095,1771514,254340,294729,36406,39179,112265,130456,7354,7655,1850050,1943523,1473133,1508194,236697,273575,14591,16306,100552,118140,3350,3370,21727,23938,1491167,1527493,241672,280321,25789,29021,108820,126594,6042,6322,263312,267410,236589,239219,10659,12010,7949,7279,2336,2541,815,796,4964,5565,240928,244021,12668,14408,10617,10158,3445,3862,1312,1333
R,8,2021,62,4232592,2059756,2172836,1676417,1727634,236508,276635,21053,22337,96675,114452,3874,3861,25229,27917,1697485,1750626,242972,284979,34406,37520,105525,123491,6792,7031,1818927,1923905,1459885,1504841,226724,265374,13922,15523,94531,112120,3150,3162,20715,22885,1477062,1523496,231369,271544,24830,28067,102331,120018,5626,5869,240829,248931,216532,222793,9784,11261,7131,6814,2144,2332,724,699,4514,5032,220423,227130,11603,13435,9576,9453,3194,3473,1166,1162
R,8,2021,63,4183680,2029302,2154378,1657929,1721046,226778,266556,19922,21601,96741,114539,3646,3771,24286,26865,1678158,1743026,233028,274631,32941,36339,105128,123216,6446,6777,1804887,1917822,1456351,1509146,217400,255819,13402,15271,94750,112430,2973,3076,20011,22080,1472871,1527032,221894,261831,24143,27459,102195,119989,5350,5653,224415,236556,201578,211900,9378,10737,6520,6330,1991,2109,673,695,4275,4785,205287,215994,11134,12800,8798,8880,2933,3227,1096,1124
R,8,2021,64,4118190,1989032,2129158,1629956,1704383,219463,263323,19640,20937,93050,110890,3516,3574,23407,26051,1649419,1725786,225552,271085,32413,35705,100942,118844,6198,6542,1774506,1900376,1437265,1499319,210630,252965,13129,14843,91178,108904,2904,2912,19400,21433,1453245,1516723,215067,258723,23715,27173,98231,115809,5217,5432,214526,228782,192691,205064,8833,10358,6511,6094,1872,1986,612,662,4007,4618,196174,209063,10485,12362,8698,8532,2711,3035,981,1110
R,8,2021,65,3941675,1892224,2049451,1552338,1639772,205983,251544,18244,20090,90423,109591,3208,3428,22028,25026,1570733,1660286,211622,258980,30268,34282,97766,117341,5763,6215,1691539,1831842,1372185,1444790,197670,241704,12217,14399,88637,107529,2632,2864,18198,20556,1387245,1461456,201702,247173,22161,26257,95158,114256,4830,5229,200685,217609,180153,194982,8313,9840,6027,5691,1786,2062,576,564,3830,4470,183488,198830,9920,11807,8107,8025,2608,3085,933,986
R,8,2021,66,3837330,1833675,2003655,1509681,1609203,194824,240120,17337,18932,87788,108445,3047,3347,20998,23608,1527070,1628461,200203,247166,28988,32199,94751,115818,5510,6042,1643346,1794526,1338254,1421040,186994,231037,11867,13657,86130,106574,2536,2760,17565,19458,1352668,1436681,190929,236261,21661,24751,92355,113037,4668,5078,190329,209129,171427,188163,7830,9083,5470,5275,1658,1871,511,587,3433,4150,174402,191780,9274,10905,7327,7448,2396,2781,842,964
R,8,2021,67,3703862,1760374,1943488,1458719,1569481,180605,228175,15956,17795,82966,102824,2786,3132,19342,22081,1474887,1587463,185472,234695,26937,30534,89220,109442,4914,5687,1586864,1749157,1302158,1394270,173363,219879,11145,13017,81557,101078,2334,2579,16307,18334,1315677,1409004,176936,224735,20503,23772,87141,106906,4208,4801,173510,194331,156561,175211,7242,8296,4811,4778,1409,1746,452,553,3035,3747,159210,178459,8536,9960,6434,6762,2079,2536,706,886
R,8,2021,68,3543371,1675828,1867543,1396409,1516971,165222,212673,14790,16493,78762,97728,2662,2884,17983,20794,1411404,1533997,169608,218675,25028,28553,84587,104041,4697,5269,1516469,1686192,1252608,1353181,158657,204880,10384,12146,77396,96181,2254,2412,15170,17392,1265171,1367238,161849,209419,19109,22393,82611,101731,4030,4492,159359,181351,143801,163790,6565,7793,4406,4347,1366,1547,408,472,2813,3402,146233,166759,7759,9256,5919,6160,1976,2310,667,777
R,8,2021,69,3414550,1609442,1805108,1348352,1471264,153645,202281,13507,15461,74886,94338,2524,2770,16528,18994,1362100,1486852,157726,207690,23041,26722,80127,99892,4473,4959,1462056,1635969,1214974,1318395,147688,194988,9621,11435,73619,92863,2152,2340,14002,15948,1226522,1331323,150712,199090,17769,21079,78329,97747,3848,4225,147386,169139,133378,152869,5957,7293,3886,4026,1267,1475,372,430,2526,3046,135578,155529,7014,8600,5272,5643,1798,2145,625,734
R,8,2021,70,3239522,1516780,1722742,1271379,1402747,146088,195783,12788,14629,68775,89111,2261,2507,15489,17965,1284252,1417430,149895,201048,21944,25379,73532,94218,4062,4562,1377876,1562431,1145461,1257939,140492,188901,9212,10755,67626,87655,1944,2120,13141,15061,1156293,1270079,143326,192914,17070,19970,71881,92116,3535,3898,138904,160311,125918,144808,5596,6882,3576,3874,1149,1456,317,387,2348,2904,127959,147351,6569,8134,4874,5409,1651,2102,527,664
R,8,2021,71,3080465,1436492,1643973,1198224,1333947,138442,185760,12236,13829,70447,90829,2276,2432,14867,17176,1210566,1347887,142139,190818,21052,23955,74995,95925,4000,4449,1306950,1490296,1080951,1194983,133123,179050,8910,10315,69382,89467,1913,2076,12671,14405,1091399,1206541,135913,182877,16479,19001,73448,93902,3454,3823,129542,153677,117273,138964,5319,6710,3326,3514,1065,1362,363,356,2196,2771,119167,141346,6226,7941,4573,4954,1547,2023,546,626
R,8,2021,72,2990447,1390268,1600179,1170486,1311575,126855,173065,11455,12945,65569,84086,2190,2378,13713,16130,1181900,1324809,130130,177713,19665,22689,69731,88587,3808,4193,1271099,1458013,1062380,1182623,122133,167048,8399,9720,64565,82915,1868,2026,11754,13681,1072105,1193745,124601,170611,15549,18209,68271,86864,3280,3609,119169,142166,108106,128952,4722,6017,3056,3225,1004,1171,322,352,1959,2449,109795,131064,5529,7102,4116,4480,1460,1723,528,584
R,8,2021,73,2917644,1355268,1562376,1149844,1291909,118021,162492,10616,12210,61887,78157,1957,2189,12943,15419,1160637,1304649,121173,166787,18416,21551,65702,82466,3452,3934,1243145,1427230,1047994,1169239,113561,156897,7880,9216,60981,77007,1670,1867,11059,13004,1057128,1179857,115970,160164,14640,17296,64380,80782,3004,3394,112123,135146,101850,122670,4460,5595,2736,2994,906,1150,287,322,1884,2415,103509,124792,5203,6623,3776,4255,1322,1684,448,540
R,8,2021,74,3061559,1429043,1632516,1232868,1376341,112212,153626,10751,11827,58297,73392,1859,1928,13056,15402,1243858,1389190,115271,157907,18887,21394,61910,77498,3348,3583,1321727,1502248,1135096,1257724,108190,148339,8061,9070,57480,72289,1601,1644,11299,13182,1144565,1268616,110547,151667,15256,17453,60662,75920,2915,3118,107316,130268,97772,118617,4022,5287,2690,2757,817,1103,258,284,1757,2220,99293,120574,4724,6240,3631,3941,1248,1578,433,465
R,8,2021,75,2218436,1018755,1199681,866197,994833,84517,120630,8006,9300,48518,61254,1628,1692,9889,11972,874509,1004731,86867,123928,13904,16341,51458,64750,2829,3111,930384,1087746,785771,893121,81035,115836,5844,6977,47854,60328,1413,1458,8467,10026,792858,901323,82787,118302,10994,13001,50474,63385,2467,2719,88371,111935,80426,101712,3482,4794,2162,2323,664,926,215,234,1422,1946,81651,103408,4080,5626,2910,3340,984,1365,362,392
R,8,2021,76,2058265,935417,1122848,794753,930769,78479,114224,7292,8683,44385,56512,1383,1579,9125,11081,802407,939943,80638,117270,12737,15237,47065,59704,2547,2896,854921,1020015,721425,837013,75426,110034,5379,6563,43722,55675,1183,1353,7786,9377,727897,844709,77040,112334,10107,12237,46105,58475,2213,2513,80496,102833,73328,93756,3053,4190,1913,2120,663,837,200,226,1339,1704,74510,95234,3598,4936,2630,3000,960,1229,334,383
R,8,2021,77,1989874,898272,1091602,768577,912951,72047,106313,6726,8033,41313,52301,1259,1412,8350,10592,775601,921727,73955,109287,11743,14399,43753,55233,2313,2685,826184,996086,702788,825724,69215,102576,5033,6077,40797,51499,1103,1217,7248,8993,708844,833115,70688,104855,9484,11616,42980,54074,2045,2345,72088,95516,65789,87227,2832,3737,1693,1956,516,802,156,195,1102,1599,66757,88612,3267,4432,2259,2783,773,1159,268,340
R,8,2021,78,2003133,898163,1104970,777389,935578,67746,103198,6189,7618,37872,47174,1119,1263,7848,10139,784037,944048,69528,105952,11040,13815,40014,49886,2079,2433,831385,1014005,716336,852674,65159,99436,4746,5757,37343,46476,989,1083,6812,8579,722108,859796,66511,101482,9072,11171,39228,48832,1834,2125,66778,90965,61053,82904,2587,3762,1443,1861,529,698,130,180,1036,1560,61929,84252,3017,4470,1968,2644,786,1054,245,308
R,8,2021,79,1711087,758970,952117,651623,799470,58807,90802,5450,6678,35207,45312,953,1162,6930,8693,657422,806714,60415,93140,9710,11978,37181,47692,1770,2127,699978,871133,597670,725315,56508,87678,4189,5053,34770,44677,826,969,6015,7441,602680,731461,57750,89467,7963,9701,36530,46779,1547,1838,58992,80984,53953,74155,2299,3124,1261,1625,437,635,127,193,915,1252,54742,75253,2665,3673,1747,2277,651,913,223,289
R,8,2021,80,1517473,664863,852610,569304,713756,51902,83179,4895,6006,31788,40729,886,992,6088,7948,574441,720368,53270,85316,8594,10835,33569,42957,1616,1909,611333,778235,520327,645568,49839,80288,3753,4633,31387,40148,783,836,5244,6762,524730,651166,50860,81920,7018,8841,32963,42089,1428,1643,53530,74375,48977,68188,2063,2891,1142,1373,401,581,103,156,844,1186,49711,69202,2410,3396,1576,1994,606,868,188,266
R,8,2021,81,1374015,593826,780189,505573,650345,47366,77556,4460,5592,29980,38396,830,1004,5617,7296,510278,656415,48656,79564,7786,9955,31705,40426,1508,1850,544172,709954,460164,586067,45477,74752,3377,4276,29572,37853,716,820,4866,6186,464233,591168,46458,76274,6302,8062,31113,39631,1320,1561,49654,70235,45409,64278,1889,2804,1083,1316,408,543,114,184,751,1110,46045,65247,2198,3290,1484,1893,592,795,188,289
R,8,2021,82,1255277,537576,717701,460137,602293,41475,68878,3771,4934,26683,34134,664,911,4846,6551,464241,607742,42593,70623,6650,8842,28124,35994,1246,1709,492841,653424,419172,543331,39712,66321,2848,3785,26355,33640,570,779,4184,5568,422688,547956,40560,67623,5380,7191,27642,35263,1099,1466,44735,64277,40965,58962,1763,2557,923,1149,328,494,94,132,662,983,41553,59786,2033,3000,1270,1651,482,731,147,243
R,8,2021,83,1160573,489150,671423,419323,564192,37014,64078,3429,4677,24289,31771,634,827,4461,5878,423086,569086,38037,65685,6091,8102,25626,33468,1142,1521,448655,611692,382134,509487,35507,61656,2645,3588,23981,31330,537,670,3851,4961,385367,513588,36274,62869,4994,6565,25173,32805,980,1271,40495,59731,37189,54705,1507,2422,784,1089,308,441,97,157,610,917,37719,55498,1763,2816,1097,1537,453,663,162,250
R,8,2021,84,1022646,424322,598324,363114,501982,32315,57356,2948,4046,21505,28832,556,735,3884,5373,366442,506474,33211,58816,5230,7158,22698,30384,988,1389,388355,544452,330091,452569,30933,55229,2247,3068,21243,28392,479,612,3362,4582,332961,456369,31601,56341,4274,5789,22309,29760,860,1188,35967,53872,33023,49413,1382,2127,701,978,262,440,77,123,522,791,33481,50105,1610,2475,956,1369,389,624,128,201
R,8,2021,85,924389,377554,546835,323048,458543,28968,53079,2601,3681,19045,26119,476,629,3416,4784,325919,462517,29747,54412,4565,6501,20123,27473,899,1156,345196,497746,293271,413422,27720,51184,2001,2800,18816,25757,414,533,2974,4050,295767,416764,28305,52194,3742,5242,19787,26939,787,997,32358,49089,29777,45121,1248,1895,600,881,229,362,62,96,442,734,30152,45753,1442,2218,823,1259,336,534,112,159
R,8,2021,86,814527,321650,492877,276129,414524,24147,47086,2166,3235,15964,23200,402,550,2842,4282,278486,418051,24835,48254,3786,5739,16868,24408,775,1051,293978,448893,250601,374076,23128,45402,1667,2459,15767,22875,349,454,2466,3627,252638,377045,23650,46298,3102,4638,16580,23917,678,890,27672,43984,25528,40448,1019,1684,499,776,197,325,53,96,376,655,25848,41006,1185,1956,684,1101,288,491,97,161
R,8,2021,87,707924,273271,434653,234816,366590,20250,41034,1779,2757,13673,20081,351,468,2402,3723,236863,369707,20797,42074,3142,4888,14419,21206,655,888,249999,396595,213291,331526,19448,39597,1349,2074,13513,19795,303,399,2095,3204,215068,334197,19871,40395,2562,3939,14174,20783,577,774,23272,38058,21525,35064,802,1437,430,683,160,286,48,69,307,519,21795,35510,926,1679,580,949,245,423,78,114
R,8,2021,88,610889,230876,380013,198770,320622,16607,35179,1522,2360,11596,18173,305,424,2076,3255,200559,323340,17073,36031,2689,4230,12266,19156,543,818,211283,346847,180650,289973,15926,33956,1168,1795,11466,17935,265,368,1808,2820,182208,292316,16282,34621,2210,3449,12054,18822,475,718,19593,33166,18120,30649,681,1223,354,565,130,238,40,56,268,435,18351,31024,791,1410,479,781,212,334,68,100
R,8,2021,89,535031,196110,338921,168411,285199,14269,31758,1261,2092,10129,16575,276,375,1764,2922,169896,287634,14675,32580,2235,3750,10718,17421,514,755,179597,309506,153117,258081,13695,30644,960,1595,10009,16345,241,324,1575,2517,154442,260169,14031,31296,1835,3068,10550,17077,456,650,16513,29415,15294,27118,574,1114,301,497,120,230,35,51,189,405,15454,27465,644,1284,400,682,168,344,58,105
R,8,2021,90,465527,167489,298038,145155,253342,11309,26294,1018,1728,8388,13946,211,290,1408,2438,146360,255360,11641,26970,1795,3148,8852,14637,386,586,153338,272884,131983,230065,10870,25369,773,1311,8292,13789,182,259,1238,2091,133041,231781,11131,25901,1464,2553,8706,14402,337,518,14151,25154,13172,23277,439,925,245,417,96,157,29,31,170,347,13319,23579,510,1069,331,595,146,235,49,68
R,8,2021,91,412972,144303,268669,125109,228555,9436,22858,864,1562,7434,13172,189,283,1271,2239,126188,230442,9724,23460,1558,2845,7864,13822,356,559,132011,245836,113638,207355,9064,22094,648,1178,7368,13027,174,245,1119,1937,114585,208974,9298,22560,1258,2316,7760,13605,326,493,12292,22833,11471,21200,372,764,216,384,66,145,15,38,152,302,11603,21468,426,900,300,529,104,217,30,66
R,8,2021,92,345847,117470,228377,101718,194161,7591,19513,739,1247,6220,11360,166,246,1036,1850,102592,195697,7843,20037,1342,2303,6545,11879,286,483,107261,209186,92248,176324,7261,18871,555,949,6158,11238,147,212,892,1592,93004,177644,7457,19286,1086,1874,6437,11691,248,412,10209,19191,9470,17837,330,642,184,298,62,122,19,34,144,258,9588,18053,386,751,256,429,108,188,38,71
R,8,2021,93,284014,93354,190660,80910,162205,5954,16174,602,1034,4945,9464,114,203,829,1580,81611,163505,6153,16635,1064,1924,5205,9927,227,405,85305,174916,73418,147613,5690,15611,464,775,4908,9366,98,177,727,1374,74029,148736,5851,15974,874,1570,5141,9779,195,358,8049,15744,7492,14592,264,563,138,259,37,98,16,26,102,206,7582,14769,302,661,190,354,64,148,32,47
R,8,2021,94,231166,73497,157669,63579,134211,4600,13307,434,853,4118,7819,86,166,680,1313,64158,135309,4751,13653,805,1617,4338,8201,180,342,67520,145393,57972,122830,4438,12872,340,654,4086,7739,77,145,607,1153,58491,123786,4567,13148,672,1341,4287,8078,160,298,5977,12276,5607,11381,162,435,94,199,32,80,9,21,73,160,5667,11523,184,505,133,276,51,123,20,44
R,8,2021,95,183113,56699,126414,48784,107450,3653,10627,342,697,3298,6446,77,143,545,1051,49240,108335,3786,10926,657,1301,3474,6725,143,270,52038,116607,44441,98360,3512,10283,269,539,3268,6383,69,124,479,918,44841,99129,3620,10526,549,1081,3424,6632,127,234,4661,9807,4343,9090,141,344,73,158,30,63,8,19,66,133,4399,9206,166,400,108,220,50,93,16,36
R,8,2021,96,141605,41939,99666,35890,84300,2697,8472,268,533,2630,5374,39,103,415,884,36232,85032,2800,8742,500,1032,2758,5608,95,210,38573,92124,32756,77333,2596,8189,209,409,2612,5319,35,91,365,783,33060,77981,2680,8413,414,862,2727,5528,81,180,3366,7542,3134,6967,101,283,59,124,18,55,4,12,50,101,3172,7051,120,329,86,170,31,80,14,30
R,8,2021,97,107150,30489,76661,25873,64762,1990,6409,183,430,2111,4324,42,87,290,649,26122,65304,2070,6604,342,803,2205,4510,78,165,28039,71077,23599,59582,1915,6215,138,340,2096,4291,38,79,253,570,23818,60058,1979,6375,279,673,2177,4453,66,146,2450,5584,2274,5180,75,194,45,90,15,33,4,8,37,79,2304,5246,91,229,63,130,28,57,12,19
R,8,2021,98,78785,21948,56837,18478,47811,1412,4808,152,311,1637,3310,26,71,243,526,18670,48247,1479,4971,281,619,1725,3439,64,141,20206,52794,16858,44070,1365,4662,124,248,1627,3286,22,61,210,467,17029,44456,1415,4797,238,530,1702,3399,51,125,1742,4043,1620,3741,47,146,28,63,10,24,4,10,33,59,1641,3791,64,174,43,89,23,40,13,16
R,8,2021,99,53976,14514,39462,11903,32911,1009,3391,95,202,1304,2525,17,59,186,374,12059,33218,1060,3514,197,413,1372,2627,43,109,13360,36767,10841,30427,973,3286,78,163,1291,2501,15,56,162,334,10979,30700,1011,3389,166,352,1350,2595,37,99,1154,2695,1062,2484,36,105,17,39,13,24,2,3,24,40,1080,2518,49,125,31,61,22,32,6,10
R,8,2021,100,99049,24817,74232,19731,59961,1714,6966,181,452,2804,5938,49,109,338,806,20010,60604,1820,7248,358,897,2915,6158,102,226,23003,69452,18063,55569,1658,6787,148,385,2793,5908,43,100,298,703,18309,56127,1749,7024,307,782,2892,6096,85,202,1814,4780,1668,4392,56,179,33,67,11,30,6,9,40,103,1701,4477,71,224,51,115,23,62,17,24
R,9,2021,999,332100018,164485333,167614685,125418118,126109809,21727661,23384094,2209423,2166898,9807212,10581053,440215,425158,4882704,4947673,129779983,130506753,23964677,25696236,3603446,3618081,11626221,12388591,863805,850906,132697347,136611025,97679510,99106456,20140077,21757329,1210922,1243028,9472771,10248387,317410,310270,3876657,3945555,101142949,102611446,21902509,23588454,2192204,2285411,11012650,11777417,647756,643696,31787986,31003660,27738608,27003353,1587584,1626765,998501,923870,334441,332666,122805,114888,1006047,1002118,28637034,27895307,2062168,2107782,1411242,1332670,613571,611174,216049,207210
R,9,2021,0,3555140,1816874,1738266,1254264,1199159,291539,280445,35113,33770,106581,100814,6985,6595,122392,117483,1366948,1307322,360361,346767,57389,55111,151205,143461,15282,14480,1336702,1278440,866832,828297,255700,246030,13740,13168,98610,93225,4202,3971,97618,93749,957253,915124,311408,299752,27869,26716,135546,128538,10205,9679,480172,459826,387432,370862,35839,34415,21373,20602,7971,7589,2783,2624,24774,23734,409695,392198,48953,47015,29520,28395,15659,14923,5077,4801
R,9,2021,1,3679620,1881502,1798118,1310580,1250137,294546,285017,35303,34227,110973,104032,7060,6669,123040,118036,1423776,1358711,362746,350849,58128,56154,156404,147250,15475,14647,1393481,1329677,914079,870146,259421,251177,14158,13571,103176,96505,4324,4045,98323,94233,1005051,957316,314662,304512,28756,27575,140935,132355,10481,9856,488021,468441,396501,379991,35125,33840,21145,20656,7797,7527,2736,2624,24717,23803,418725,401395,48084,46337,29372,28579,15469,14895,4994,4791
R,9,2021,2,3759142,1919936,1839206,1334522,1275186,302128,294721,35790,34368,115758,108914,7255,6825,124483,119192,1448944,1384738,370957,360850,58959,56657,161873,152800,15826,14931,1421181,1357024,928074,881713,267032,260589,14386,13953,107848,101445,4444,4198,99397,95126,1019941,969625,322742,314143,29200,28202,146166,137865,10725,10131,498755,482182,406448,393473,35096,34132,21404,20415,7910,7469,2811,2627,25086,24066,429003,415113,48215,46707,29759,28455,15707,14935,5101,4800
R,9,2021,3,3834101,1959398,1874703,1361631,1299444,306939,299465,36576,34829,120501,113173,7312,6922,126439,120870,1477841,1410527,376657,366437,60138,57431,167458,157747,16038,15160,1452977,1386649,947687,900116,272194,265771,14538,14026,112736,105741,4560,4301,101262,96694,1041250,989447,328806,320102,29646,28530,151904,142871,10978,10356,506421,488054,413944,399328,34745,33694,22038,20803,7765,7432,2752,2621,25177,24176,436591,421080,47851,46335,30492,28901,15554,14876,5060,4804
R,9,2021,4,3917756,2005102,1912654,1396353,1328516,309967,301606,36037,34643,127437,119235,7447,7074,127861,121580,1513809,1440242,379629,368580,60009,57572,175558,164229,16422,15450,1489260,1416117,970579,919139,276002,268586,15548,14780,119783,111894,4791,4456,102557,97262,1065246,1008973,332533,322911,31050,29553,160057,149365,11457,10611,515842,496537,425774,409377,33965,33020,20489,19863,7654,7341,2656,2618,25304,24318,448563,431269,47096,45669,28959,28019,15501,14864,4965,4839
R,9,2021,5,4032436,2060825,1971611,1450397,1382017,311031,304500,35692,34463,127156,119882,7387,7081,129162,123668,1569113,1495724,380984,371987,60309,58065,175745,165896,16461,15654,1530700,1462152,1009786,958575,277264,271808,16086,15596,119400,112586,4697,4485,103467,99102,1105355,1050155,334016,326608,32033,30911,159979,150991,11407,10817,530125,509459,440611,423442,33767,32692,19606,18867,7756,7296,2690,2596,25695,24566,463758,445569,46968,45379,28276,27154,15766,14905,5054,4837
R,9,2021,6,4071520,2080261,1991259,1464923,1397583,315893,308228,35164,34194,128047,120540,7319,7102,128915,123612,1583425,1511222,385667,375653,59905,57869,176382,166492,16376,15672,1549136,1478230,1021936,970223,281987,275312,16512,15727,120561,113346,4672,4504,103468,99118,1117511,1061792,338619,330078,32648,31088,161042,151769,11409,10868,531125,513029,442987,427360,33906,32916,18652,18467,7486,7194,2647,2598,25447,24494,465914,449430,47048,45575,27257,26781,15340,14723,4967,4804
R,9,2021,7,4073792,2084947,1988845,1470988,1396915,316838,308472,35512,34297,126644,119768,7083,6810,127882,122583,1588551,1509600,385708,375405,60224,57929,174752,165105,16190,15379,1556291,1481526,1030118,974200,282655,275490,16816,16159,119480,112964,4596,4422,102626,98291,1124941,1065002,338511,329863,32971,31557,159778,150842,11345,10785,528656,507319,440870,422715,34183,32982,18696,18138,7164,6804,2487,2388,25256,24292,463610,444598,47197,45542,27253,26372,14974,14263,4845,4594
