UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2021,9,4058615,2077270,1981345,1471494,1399572,316056,306057,36251,34937,122351,115747,6790,6517,124328,118515,1585653,1508372,382729,370050,60827,58401,169005,159838,15760,15052,1547902,1472305,1028177,973057,283216,274593,17114,16452,115592,109256,4397,4208,99406,94739,1119896,1060465,337099,326379,33141,31748,154603,146045,11008,10473,529368,509040,443317,426515,32840,31464,19137,18485,6759,6491,2393,2309,24922,23776,465757,447907,45630,43671,27686,26653,14402,13793,4752,4579
R,7,2021,10,4103489,2104997,1998492,1500227,1419673,318413,307667,34814,33526,120025,113139,6715,6386,124803,118101,1614898,1528087,385194,371269,59751,57329,166670,156910,15767,14868,1561637,1477749,1040048,979488,286965,276908,17427,16482,113420,106858,4360,4126,99417,93887,1131824,1066082,340843,328100,33645,31930,152251,143261,10995,10313,543360,520743,460179,440185,31448,30759,17387,17044,6605,6281,2355,2260,25386,24214,483074,462005,44351,43169,26106,25399,14419,13649,4772,4555
R,7,2021,11,4189406,2145796,2043610,1538181,1458894,323349,312201,34398,33250,118720,113041,6439,6275,124709,119949,1653066,1569139,390244,377142,59515,57724,164671,156741,15274,14709,1586385,1507936,1060670,1001653,292420,282478,17638,17303,112367,107061,4327,4185,98963,95256,1152249,1089581,346241,334634,33815,33240,150546,143452,10827,10334,559411,535674,477511,457241,30929,29723,16760,15947,6353,5980,2112,2090,25746,24693,500817,479558,44003,42508,25700,24484,14125,13289,4447,4375
R,7,2021,12,4279315,2190976,2088339,1576556,1495729,332426,321924,34693,33361,117738,112914,6494,6447,123069,117964,1689651,1604287,398604,386052,59664,56857,162663,155550,15106,14741,1623320,1545503,1090165,1030787,301424,291898,18225,17640,111325,106890,4390,4376,97791,93912,1180420,1117606,354837,343823,34344,32766,148760,142519,10741,10493,567656,542836,486391,464942,31002,30026,16468,15721,6413,6024,2104,2071,25278,24052,509231,486681,43767,42229,25320,24091,13903,13031,4365,4248
R,7,2021,13,4442581,2275444,2167137,1640668,1554951,345062,334386,36321,34714,122657,117359,6763,6504,123973,119223,1754520,1664413,411658,399510,61373,58811,167864,160132,15682,14755,1684794,1604653,1132770,1072088,313191,303683,19013,18423,116364,111273,4619,4328,98837,94858,1223890,1159506,367238,356474,35264,33910,154143,146920,11181,10417,590650,562484,507898,482863,31871,30703,17308,16291,6293,6086,2144,2176,25136,24365,530630,504907,44420,43036,26109,24901,13721,13212,4501,4338
R,7,2021,14,4432993,2271010,2161983,1644454,1560152,343519,330841,36645,34751,120404,114525,6677,6556,119311,115158,1754042,1665693,407307,393064,61195,58524,163959,155928,15283,14835,1684611,1601747,1139830,1077679,312253,300973,18898,18461,114032,108619,4578,4403,95020,91612,1227489,1161941,363919,351491,34859,33783,150315,143187,10937,10498,586399,560236,504624,482473,31266,29868,17747,16290,6372,5906,2099,2153,24291,23546,526553,503752,43388,41573,26336,24741,13644,12741,4346,4337
R,7,2021,15,4355926,2228527,2127399,1624716,1542083,330418,322139,35538,34036,117973,114210,6514,6287,113368,108644,1728753,1641747,390161,379977,59387,56775,159742,153752,14682,14066,1659603,1582631,1133013,1071505,300915,293456,18690,18148,111941,108642,4447,4279,90597,86601,1216446,1151234,349543,340556,34213,32860,146999,141675,10513,9998,568924,544768,491703,470578,29503,28683,16848,15888,6032,5568,2067,2008,22771,22043,512307,490513,40618,39421,25174,23915,12743,12077,4169,4068
R,7,2021,16,4310462,2204485,2105977,1612516,1530386,324280,313897,34865,33792,118569,117259,6486,6272,107769,104371,1711154,1625754,380346,368717,58166,56168,158567,155502,14279,13778,1650025,1576573,1132409,1072246,295757,286476,18471,17984,112797,111818,4463,4389,86128,83660,1211552,1148922,341339,331272,33648,32554,146441,144079,10248,10015,554460,529404,480107,458140,28523,27421,16394,15808,5772,5441,2023,1883,21641,20711,499602,476832,39007,37445,24518,23614,12126,11423,4031,3763
R,7,2021,17,4333375,2214872,2118503,1627317,1545279,322742,313126,34134,33148,120154,119591,6313,6028,104212,101331,1722719,1637987,376195,365700,56979,55407,159059,156971,13955,13422,1671147,1596507,1155163,1092245,295117,286699,18391,17760,114486,114254,4430,4201,83560,81348,1231958,1166882,338720,329691,33498,32615,147267,145762,10157,9686,543725,521996,472154,453034,27625,26427,15743,15388,5668,5337,1883,1827,20652,19983,490761,471105,37475,36009,23481,22792,11792,11209,3798,3736
R,7,2021,18,4292780,2193245,2099535,1613402,1532991,319499,310928,33763,32308,121184,120740,6266,6015,99131,96553,1703842,1621230,370104,360218,56197,54288,157984,156511,13744,13046,1660103,1587134,1149910,1087144,292423,285438,18029,17365,115682,115450,4396,4237,79663,77500,1222838,1158238,333782,325704,32957,32026,146779,145587,10008,9578,533142,512401,463492,445847,27076,25490,15734,14943,5502,5290,1870,1778,19468,19053,481004,462992,36322,34514,23240,22262,11205,10924,3736,3468
